Text Date,Value Date,Zip Code,Water Use,Power Use,Zip Code (location)
Jul_2005,Jul-05,90001,21.52,329,
Aug_2005,Aug-05,90001,22.42,340,
Sep_2005,Sep-05,90001,21.66,312,
Oct_2005,Oct-05,90001,19.63,316,
Nov_2005,Nov-05,90001,18.03,343,
Dec_2005,Dec-05,90001,18.7,367,
Jan_2006,Jan-06,90001,19.61,362,
Feb_2006,Feb-06,90001,17.17,325,
Mar_2006,Mar-06,90001,18.82,344,
Apr_2006,Apr-06,90001,18.25,322,
May_2006,May-06,90001,20.3,331,
Jun_2006,Jun-06,90001,20.33,320,
Jul_2006,Jul-06,90001,22.22,359,
Aug_2006,Aug-06,90001,23.11,374,
Sep_2006,Sep-06,90001,20.94,325,
Oct_2006,Oct-06,90001,20.64,320,
Nov_2006,Nov-06,90001,19.1,355,
Dec_2006,Dec-06,90001,19.3,381,
Jan_2007,Jan-07,90001,19.43,378,
Feb_2007,Feb-07,90001,17.37,339,
Mar_2007,Mar-07,90001,20.05,342,
Apr_2007,Apr-07,90001,20.49,312,
May_2007,May-07,90001,22.93,321,
Jun_2007,Jun-07,90001,22.5,310,
Jul_2007,Jul-07,90001,22.12,358,
Aug_2007,Aug-07,90001,22.05,377,
Sep_2007,Sep-07,90001,19.93,317,
Oct_2007,Oct-07,90001,19.47,313,
Nov_2007,Nov-07,90001,18.01,360,
Dec_2007,Dec-07,90001,18.13,390,
Jan_2008,Jan-08,90001,17.86,378,
Feb_2008,Feb-08,90001,15.93,348,
Mar_2008,Mar-08,90001,18.8,345,
Apr_2008,Apr-08,90001,18.95,318,
May_2008,May-08,90001,17.17,325,
Jun_2008,Jun-08,90001,14.92,312,
Jul_2008,Jul-08,90001,20.61,355,
Aug_2008,Aug-08,90001,20.06,371,
Sep_2008,Sep-08,90001,19.07,328,
Oct_2008,Oct-08,90001,18.79,325,
Nov_2008,Nov-08,90001,17,353,
Dec_2008,Dec-08,90001,16.96,377,
Jan_2009,Jan-09,90001,17.05,362,
Feb_2009,Feb-09,90001,15.08,318,
Mar_2009,Mar-09,90001,17.73,329,
Apr_2009,Apr-09,90001,17.75,300,
May_2009,May-09,90001,16.34,312,
Jun_2009,Jun-09,90001,14.62,303,
Jul_2009,Jul-09,90001,18.95,346,
Aug_2009,Aug-09,90001,19.24,360,
Sep_2009,Sep-09,90001,17.93,326,
