Date,ZipCode,WaterUse,PowerUse
07_2005,90001,21.52,329
08_2005,90001,22.42,340
09_2005,90001,21.66,312
10_2005,90001,19.63,316
11_2005,90001,18.03,343
12_2005,90001,18.7,367
01_2006,90001,19.61,362
02_2006,90001,17.17,325
03_2006,90001,18.82,344
04_2006,90001,18.25,322
05_2006,90001,20.3,331
06_2006,90001,20.33,320
07_2006,90001,22.22,359
08_2006,90001,23.11,374
09_2006,90001,20.94,325
10_2006,90001,20.64,320
11_2006,90001,19.1,355
12_2006,90001,19.3,381
01_2007,90001,19.43,378
02_2007,90001,17.37,339
03_2007,90001,20.05,342
04_2007,90001,20.49,312
05_2007,90001,22.93,321
06_2007,90001,22.5,310
07_2007,90001,22.12,358
08_2007,90001,22.05,377
09_2007,90001,19.93,317
10_2007,90001,19.47,313
11_2007,90001,18.01,360
12_2007,90001,18.13,390
01_2008,90001,17.86,378
02_2008,90001,15.93,348
03_2008,90001,18.8,345
04_2008,90001,18.95,318
05_2008,90001,17.17,325
06_2008,90001,14.92,312
07_2008,90001,20.61,355
08_2008,90001,20.06,371
09_2008,90001,19.07,328
10_2008,90001,18.79,325
11_2008,90001,17,353
12_2008,90001,16.96,377
01_2009,90001,17.05,362
02_2009,90001,15.08,318
03_2009,90001,17.73,329
04_2009,90001,17.75,300
05_2009,90001,16.34,312
06_2009,90001,14.62,303
07_2009,90001,18.95,346
08_2009,90001,19.24,360
09_2009,90001,17.93,326
10_2009,90001,17.53,326
11_2009,90001,14.29,351
12_2009,90001,14.08,379
01_2010,90001,13.69,377
02_2010,90001,12.37,339
03_2010,90001,13.96,333
04_2010,90001,13.62,297
05_2010,90001,14.07,305
06_2010,90001,13.56,294
07_2010,90001,15.25,319
08_2010,90001,15.73,329
09_2010,90001,14.53,310
10_2010,90001,15.15,316
11_2010,90001,14.03,352
12_2010,90001,13.53,382
01_2011,90001,13.82,371
02_2011,90001,12.6,328
03_2011,90001,13.96,333
04_2011,90001,13.97,307
05_2011,90001,14.83,313
06_2011,90001,14.81,300
07_2011,90001,16.12,322
08_2011,90001,16.55,328
09_2011,90001,15.29,307
10_2011,90001,15.26,313
11_2011,90001,14.65,353
12_2011,90001,14.42,382
01_2012,90001,14.25,362
02_2012,90001,13.88,328
03_2012,90001,15.38,332
04_2012,90001,15.08,310
05_2012,90001,16.56,311
06_2012,90001,16.21,297
07_2012,90001,11.43,344
08_2012,90001,11.77,360
09_2012,90001,10.4,334
10_2012,90001,10.44,340
11_2012,90001,9.01,363
12_2013,90001,9.01,386
01_2013,90001,9.03,379
02_2013,90001,8.14,340
03_2013,90001,9.44,332
04_2013,90001,9.32,294
05_2013,90001,10.58,315
06_2013,90001,10.59,309
07_2005,90002,24.27,353
08_2005,90002,24.7,369
09_2005,90002,22.55,346
10_2005,90002,21.32,346
11_2005,90002,19.11,356
12_2005,90002,18.46,384
01_2006,90002,18.18,382
02_2006,90002,16.54,340
03_2006,90002,18.13,364
04_2006,90002,17.62,336
05_2006,90002,20.71,358
06_2006,90002,22.7,357
07_2006,90002,24.08,380
08_2006,90002,24.71,396
09_2006,90002,22.09,358
10_2006,90002,21.08,347
11_2006,90002,19.13,372
12_2006,90002,18.43,421
01_2007,90002,18.45,413
02_2007,90002,16.99,353
03_2007,90002,19.2,365
04_2007,90002,19.36,328
05_2007,90002,21.53,344
06_2007,90002,22.07,339
07_2007,90002,23.57,377
08_2007,90002,23.94,410
09_2007,90002,21.27,356
10_2007,90002,20.55,333
11_2007,90002,18.11,361
12_2007,90002,17.14,408
01_2008,90002,16.93,395
02_2008,90002,15.75,356
03_2008,90002,18.16,366
04_2008,90002,18.87,335
05_2008,90002,19.53,354
06_2008,90002,19.12,349
07_2008,90002,21.47,367
08_2008,90002,21.31,378
09_2008,90002,19.69,352
10_2008,90002,19.46,348
11_2008,90002,17.45,363
12_2008,90002,16.74,400
01_2009,90002,16.34,381
02_2009,90002,14.65,324
03_2009,90002,17.33,346
04_2009,90002,17.93,318
05_2009,90002,18.57,334
06_2009,90002,18.01,329
07_2009,90002,19.66,357
08_2009,90002,20.33,381
09_2009,90002,18.66,351
10_2009,90002,18.01,343
11_2009,90002,16.29,355
12_2009,90002,15.98,393
01_2010,90002,15.7,385
02_2010,90002,14.04,339
03_2010,90002,16.15,353
04_2010,90002,16.68,313
05_2010,90002,17.69,329
06_2010,90002,17.67,327
07_2010,90002,18.39,339
08_2010,90002,18.74,344
09_2010,90002,17.33,333
10_2010,90002,16.91,345
11_2010,90002,15.37,364
12_2010,90002,15.01,405
01_2011,90002,15.11,390
02_2011,90002,13.99,336
03_2011,90002,15.69,357
04_2011,90002,15.57,326
05_2011,90002,17.19,339
06_2011,90002,18.13,333
07_2011,90002,19.07,344
08_2011,90002,18.97,346
09_2011,90002,17.37,329
10_2011,90002,16.79,333
11_2011,90002,15.37,355
12_2011,90002,15.47,400
01_2012,90002,15.52,386
02_2012,90002,14.99,342
03_2012,90002,16.14,348
04_2012,90002,15.72,317
05_2012,90002,17.78,329
06_2012,90002,18.55,319
07_2012,90002,11.98,359
08_2012,90002,12.16,388
09_2012,90002,11,355
10_2012,90002,10.99,348
11_2012,90002,9.99,366
12_2013,90002,9.66,405
01_2013,90002,9.86,388
02_2013,90002,9.02,332
03_2013,90002,10.32,347
04_2013,90002,10.52,311
05_2013,90002,11.3,333
06_2013,90002,11.37,329
07_2005,90003,22.7,313
08_2005,90003,23.18,324
09_2005,90003,21.19,302
10_2005,90003,20.79,305
11_2005,90003,19.77,319
12_2005,90003,20.42,341
01_2006,90003,20.19,337
02_2006,90003,18.31,301
03_2006,90003,20.27,323
04_2006,90003,19.02,302
05_2006,90003,20.71,314
06_2006,90003,20.97,309
07_2006,90003,21.98,333
08_2006,90003,22.37,342
09_2006,90003,20.75,310
10_2006,90003,20.52,309
11_2006,90003,19.22,334
12_2006,90003,19.36,364
01_2007,90003,19.37,355
02_2007,90003,17.71,310
